,Unnamed: 0,orig,dest,airline,dep_date,ret_date,search_date,price
0,0,LHR,SFO,BA,2021-03-10,2021-03-30,2020-04-11,936.48
100,100,FRA,JNB,SA,2020-12-08,2020-12-22,2020-05-26,527.3985
121,121,FRA,PRG,LH,2021-03-17,2021-03-21,2020-04-22,828.1070000000003
192,192,FRA,GRU,LA,2021-02-07,2021-02-17,2020-05-08,180.02
220,220,FRA,GRU,LH,2021-03-05,2021-03-21,2020-04-11,189.02
300,300,MUC,ARN,LH,2021-01-15,2021-01-19,2020-05-06,453.9739999999998
355,355,SIN,RGN,SQ,2020-12-28,2021-01-13,2020-05-06,177.56700000000018
410,410,SIN,RGN,SQ,2020-12-29,2021-01-13,2020-05-06,253.56700000000006
464,464,SIN,MNL,SQ,2020-12-31,2021-01-13,2020-05-05,241.831
527,527,SIN,KUL,SQ,2020-12-23,2021-01-13,2020-05-13,654.9069999999999
577,577,SIN,CGK,SQ,2020-12-29,2021-01-13,2020-05-08,414.94500000000005
655,655,SIN,DRW,MI,2020-12-25,2021-01-13,2020-05-31,248.6715
671,671,FRA,EDI,LH,2021-03-14,2021-03-21,2020-04-22,276.3285
727,727,MUC,DME,LH,2021-01-05,2021-01-19,2020-04-23,487.168
770,770,FRA,BKK,LH,2021-03-07,2021-03-21,2020-04-11,405.64000000000016
854,854,TPE,JKT,CI,2021-01-02,2021-01-19,2020-05-10,1214.3505000000002
892,892,IST,BKK,TK,2020-12-30,2021-01-13,2020-04-23,815.7850000000003
952,952,IST,BKK,TK,2020-12-29,2021-01-13,2020-04-28,815.7464999999999
1035,1035,AMS,SJO,KL,2021-01-03,2021-01-17,2020-05-26,471.94150000000013
1057,1057,LHR,JNB,BA,2021-02-20,2021-03-14,2020-04-23,961.7020000000003
1117,1117,LHR,MEL,QF,2021-02-21,2021-03-13,2020-04-28,438.5205
1172,1172,LHR,PER,QF,2021-02-17,2021-03-13,2020-04-28,438.5205
1222,1222,FRA,JNB,SA,2020-12-25,2021-01-16,2020-04-23,583.7349999999999
1277,1277,FRA,IST,TK,2020-12-25,2021-01-13,2020-04-23,673.5399999999997
1337,1337,LHR,PER,QF,2021-02-14,2021-03-13,2020-04-28,438.5205
1375,1375,FRA,HEL,LH,2021-03-13,2021-03-21,2020-04-11,775.9504999999998
1449,1449,FRA,LHR,BA,2020-12-06,2020-12-19,2020-04-30,437.46900000000016
1515,1515,AMS,EDI,KL,2021-01-08,2021-01-17,2020-05-11,441.3765
1558,1558,FRA,ICN,LH,2021-01-04,2021-01-18,2020-04-29,768.8575
1627,1627,FRA,AUH,EY,2020-12-04,2020-12-19,2020-05-13,540.5895
1667,1667,LHR,SIN,QF,2020-12-13,2021-01-11,2020-04-28,216.2825
1753,1753,JNB,WDH,SA,2021-03-02,2021-03-18,2020-05-29,227.80099999999996
1769,1769,LHR,PER,QF,2020-12-15,2021-01-11,2020-04-20,370.9710000000002
1863,1863,JNB,WDH,SA,2021-02-26,2021-03-18,2020-05-29,227.80099999999996
1893,1893,FRA,MEX,LH,2021-01-03,2021-01-19,2020-05-04,284.68999999999994
1973,1973,JNB,WDH,SA,2021-02-25,2021-03-18,2020-05-29,230.1905
2001,2001,FRA,OPO,LH,2021-01-10,2021-01-18,2020-05-02,217.4795
2042,2042,LHR,DEN,BA,2021-02-27,2021-03-14,2020-04-18,962.3930000000003
2107,2107,LHR,SIN,QF,2020-12-27,2021-01-11,2020-04-28,216.2825
2193,2193,JNB,WDH,SA,2021-03-03,2021-03-18,2020-05-29,227.80099999999996
2217,2217,IST,ICN,TK,2020-12-05,2020-12-19,2020-04-28,591.9899999999998
2265,2265,MUC,ARN,LH,2021-03-15,2021-03-21,2020-04-21,480.09649999999993
2338,2338,FRA,ICN,LH,2021-01-09,2021-01-18,2020-05-09,809.5265000000003
2382,2382,DUS,SIN,SQ,2021-03-02,2021-03-15,2020-04-28,625.4789999999998
2431,2431,IST,BKK,TK,2020-12-05,2020-12-20,2020-04-22,591.901
2521,2521,FRA,CPT,LH,2021-01-04,2021-01-19,2020-05-27,348.26750000000015
2547,2547,FRA,DEL,LH,2021-01-09,2021-01-19,2020-04-28,911.9345
2618,2618,MUC,RIX,BT,2021-03-13,2021-03-21,2020-05-14,838.8765
2681,2681,FRA,BUD,LH,2021-01-14,2021-01-19,2020-05-22,1389.2214999999994
2715,2715,DXB,CMB,EK,2020-12-14,2020-12-28,2020-05-01,172.8100000000001
2770,2770,DXB,CMB,EK,2020-12-15,2020-12-28,2020-05-01,172.8100000000001
2817,2817,HAM,LHR,BA,2021-03-06,2021-03-14,2020-04-23,142.12
2872,2872,IKA,IST,TK,2020-12-09,2020-12-19,2020-04-23,592.5450000000002
2932,2932,FRA,ARN,LH,2021-01-15,2021-01-19,2020-04-28,182.75900000000007
2987,2987,DUS,SIN,SQ,2021-02-26,2021-03-15,2020-04-28,625.4789999999998
3077,3077,FRA,HKG,CX,2021-01-02,2021-01-18,2020-06-02,748.9399999999998
3097,3097,IST,ICN,TK,2020-12-06,2020-12-20,2020-04-28,591.9899999999998
3152,3152,FRA,DEL,LH,2021-01-12,2021-01-20,2020-04-28,1023.252
3207,3207,FRA,DEL,LH,2021-01-11,2021-01-20,2020-04-28,938.4760000000003
3262,3262,FRA,DEL,LH,2021-01-10,2021-01-20,2020-04-28,938.4760000000003
3317,3317,FRA,DEL,LH,2021-01-08,2021-01-20,2020-04-28,938.4760000000003
3373,3373,FRA,SIN,SQ,2021-02-14,2021-03-15,2020-04-29,160.3899999999999
